feature,ks_stat,p_value
close,0.8528463673754124,2.3961906466916038e-256
high,0.8528434606944061,2.3971879734843082e-256
open,0.8498335925123898,5.8440725570247e-254
low,0.8480241835859723,1.539664101242985e-252
volume,0.5918859999709332,1.4805917717823703e-109
macd_signal,0.2806051709855102,1.512321193342781e-23
macd,0.276971819727644,6.019589891098231e-23
mkt_ret1,0.10814888020114233,0.0007674716069817404
mkt_ret5,0.10585841556818347,0.0010761313668560092
rsi14,0.10026450797157266,0.0023032818753479668
vol10,0.0988460476405017,0.0027974787764573936
vix_chg1,0.09662679669219701,0.0037214094546980463
ret10,0.09439010565785458,0.004996549293254737
ret5,0.07320185446248202,0.05374667156838169
ret1,0.055673114654032296,0.24436459783525785
ret_next,0.05504381821616987,0.2560713193957829
volz,0.038065894458412665,0.7051581813435451
