tau,dead_zone,pos_rate_val,pos_rate_test,AUC_val,PR_val,AUC_test,PR_test
0.006,True,0.5472,0.5399,0.5067,0.5422,0.4881,0.5524
0.002,False,0.4581,0.4776,0.5038,0.4587,0.5001,0.4828
0.002,True,0.5241,0.5326,0.5018,0.5334,0.4614,0.5113
0.003,True,0.539,0.5296,0.4932,0.5325,0.4772,0.5239
0.001,True,0.5224,0.5353,0.4859,0.5098,0.4741,0.5244
0.001,False,0.494,0.5015,0.482,0.4845,0.4717,0.4939
0.003,False,0.4371,0.4388,0.4799,0.4245,0.4869,0.4385
0.004,True,0.5339,0.5198,0.4763,0.5206,0.4674,0.5132
0.004,False,0.4072,0.403,0.4635,0.3815,0.4657,0.3959
0.006,False,0.3743,0.3522,0.453,0.3374,0.4439,0.334
