tau,precision,coverage,support
0.45083932853717024,0.5390781563126252,0.998,499
0.48979591836734704,0.4878048780487805,0.164,82
0.5,0.45454545454545453,0.066,33
0.5005528295501864,0.45454545454545453,0.066,33
0.5204166666666666,0.45454545454545453,0.066,33
0.53125,0.45454545454545453,0.066,33
0.5408333333333333,0.0,0.002,1
0.56125,0.0,0.002,1
0.5816666666666667,0.0,0.002,1
0.6020833333333333,0.0,0.002,1
0.6225,0.0,0.002,1
0.6429166666666667,0.0,0.002,1
0.6633333333333333,0.0,0.002,1
0.68375,0.0,0.002,1
0.7041666666666666,0.0,0.002,1
0.7245833333333334,0.0,0.002,1
0.745,0.0,0.002,1
0.7654166666666666,0.0,0.002,1
0.7858333333333334,0.0,0.002,1
0.80625,0.0,0.002,1
0.8266666666666667,0.0,0.002,1
0.8470833333333333,0.0,0.002,1
0.8674999999999999,0.0,0.002,1
0.8879166666666667,0.0,0.002,1
0.9083333333333333,0.0,0.002,1
0.92875,0.0,0.002,1
0.9491666666666667,0.0,0.002,1
0.9695833333333334,0.0,0.002,1
0.99,0.0,0.002,1
